name,x,y,z
Pithecia pithecia,-6.395119305266885,23.61942927699994,73.75492
Chiropotes albinasus,-32.581127879873605,20.923243980586868,73.75492
Chiropotes israelita,-28.3020364168603,22.15245845936738,73.75492
Cacajao calvus,-11.00289781578899,26.2114647985787,73.75492
Cheracebus lucifer,-10.293540370203203,37.57782076091063,73.75492000000001
Cheracebus lugens,-11.40602804870041,35.29575992096341,73.75492000000001
Plecturocebus miltoni,-16.91295730610229,39.67791869087253,73.75492
Plecturocebus cinerascens,-16.892846558966777,40.71090598572707,73.75492
Plecturocebus moloch,-19.115902581876785,38.51302206983088,73.75492
Plecturocebus bernhardi,-19.907443605509844,39.1542550517076,73.75492
Plecturocebus brunneus,-15.190548696146363,40.86800319369949,73.75492000000001
Plecturocebus cupreus,-16.963565341845168,38.22572556915301,73.75492
Plecturocebus donacophilus,-13.424708053240892,39.82510298150194,73.75492
Plecturocebus vieirai,-18.95178058363169,39.073772550288375,73.75492
Callicebus personatus,-12.232711623640249,42.114342675691,73.75492
Callicebus nigrifrons,-10.17166364750492,40.77685235661217,73.75492
Aotus lemurinus,-21.56709255102777,30.58209917026578,73.75486999999998
Aotus griseimembra,-22.291675796978595,30.810248287269587,73.75486999999998
Aotus trivirgatus,-23.52082023218122,29.77157988817316,73.75486999999998
Aotus vociferans,-18.757552550929475,30.50866614786226,73.75487
Aotus nancymaae,-18.18894860315741,29.14515693193928,73.75487
Aotus azarae azarai,-23.068518477279977,26.98157529699151,73.75487
Aotus azarae,-23.068518477390437,26.98157529698293,73.75487
Aotus nigriceps,-20.404368189546883,27.485725913756333,73.75487
Callimico goeldii,-11.20231446382968,19.157992042641325,73.75496
Callithrix penicillata,-5.021994386216646,32.94046719178701,73.75491000000001
Callithrix jacchus,-5.692242639484816,32.716811129866066,73.75491000000001
Callithrix kuhlii,-6.800931059979575,31.64146781670348,73.75491000000001
Callithrix geoffroyi,-6.700824836812696,33.31342751372395,73.75491000000001
Callithrix pygmaea,-30.93677419835117,20.96608005315815,73.75491000000001
Leontopithecus chrysopygus,-36.23318805374593,20.58665030417077,73.75488
Leontopithecus rosalia,2.17174012056658,43.32341231274049,73.75488
Saguinus leucopus,-3.39965357270655,26.256882923543024,73.75492
Saguinus midas,-6.575711208721355,16.4977095269641,73.75492000000001
Saguinus oedipus,-4.642179329731835,16.9771288937483,73.75492000000001
Saguinus geoffroyi,-4.986445792172925,19.66389520319862,73.75492000000001
Cebus olivaceus,0.38349560014517,41.56892174561308,73.75492
Cebus kaapori,2.13227187194708,41.005679885607336,73.75492
Cebus albifrons,-0.020297705278545,42.150707565421165,73.75492
Cebus apella,-3.575771922396525,42.51298224441973,73.75492
Sapajus xanthosternos,-2.218037303130345,41.41591173918865,73.75492000000001
Sapajus flavius,-3.06773421804626,42.85826675541921,73.75492000000001
Sapajus apella macrocephalus,-3.339181769846415,42.40699758763893,73.75492000000001
Sapajus libidinosus,-3.100023044425505,42.5371762675769,73.75492000000001
Sapajus nigritus,-4.286255807924795,41.179740508753554,73.75492000000001
Sapajus apella,-2.523410254382125,37.87605108014001,73.75492000000001
